 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
8337,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8337_40,27.027,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8337_40,106.277,18.003,108,98,40.404,8.975,40,35,31.915,4.624,32,37
8338,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8338_40,50.604,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8338_40,116.500,25.069,123,130,43.136,6.905,41,41,27.227,3.606,27,24
8339,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8339_40,81.081,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8339_40,120.433,27.877,124,137,35.986,7.101,36,36,38.809,11.326,37,29
8340,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8340_40,77.631,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8340_40,129.570,31.484,124,120,35.289,8.673,36,36,29.252,5.622,28,27
8341,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8341_40,32.203,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8341_40,99.464,23.368,101,90,50.125,8.602,51,51,22.464,3.638,22,22
8342,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8342_40,63.830,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8342_40,142.081,27.151,142,137,47.162,6.771,46,46,25.955,2.671,26,27
8343,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8343_40,49.454,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8343_40,103.791,18.479,105,107,38.674,8.437,37,36,44.453,8.300,47,48
8344,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8344_40,133.986,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8344_40,125.004,22.020,123,100,53.609,10.158,56,56,29.597,5.809,30,33
8345,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8345_40,55.779,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8345_40,124.567,25.116,129,120,47.010,7.265,46,46,25.546,3.992,26,29
8346,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif:ROI_8346_40,33.928,2024-08-15_12-24,AllFluoNuclei_v20240729,Moments,IF2_WT_72h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Region 5_Merged-2.tif,ROI_8346_40,111.932,18.225,115,126,38.881,8.338,37,36,26.424,2.914,27,27
