 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
5996,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_5996_27,40.828,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_5996_27,121.563,27.625,125,149,43.521,9.464,39,39,45.437,11.762,45,45
5997,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_5997_27,45.429,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_5997_27,122.620,19.755,124,137,51.709,7.994,54,54,26.354,3.250,27,27
5998,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_5998_27,59.805,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_5998_27,126.635,18.531,129,133,38.837,7.517,39,39,19.365,4.103,20,17
5999,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_5999_27,50.029,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_5999_27,127.184,26.169,130,139,54.425,8.587,54,49,30.276,4.843,31,31
6000,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6000_27,89.707,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6000_27,135.692,27.346,131,131,31.776,8.372,30,29,30.692,12.082,31,46
6001,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6001_27,69.580,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6001_27,147.711,32.244,153,156,39.397,11.150,39,29,27.430,3.860,27,25
6002,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6002_27,57.505,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6002_27,136.470,27.054,143,161,45.810,4.576,45,44,31.130,7.177,31,31
6003,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6003_27,55.779,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6003_27,194.412,60.950,215,255,54.340,13.794,54,64,56.186,10.804,54,45
6004,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6004_27,39.103,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6004_27,204.956,58.622,235,255,37.897,8.324,40,34,16.912,3.484,15,15
6005,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif:ROI_6005_27,31.052,2024-08-15_12-32,AllFluoNuclei_v20240729,Moments,IF2_WT_78h_Snai1_Rab_ECAD_Sox2_FCS_01Triton_2024_08_14.lif - Position 12.tif,ROI_6005_27,117.907,22.048,120,137,46.833,8.827,44,44,142.963,74.605,145,255
