Distance,Fluorescence,Marker,Condition,Time,Replicate
321.23,68.6486,Hoxd4,0,117h,1
321.987,68.8395,Hoxd4,0,117h,1
322.745,68.181,Hoxd4,0,117h,1
323.502,67.6878,Hoxd4,0,117h,1
324.26,67.4429,Hoxd4,0,117h,1
325.018,67.3595,Hoxd4,0,117h,1
325.775,67.1552,Hoxd4,0,117h,1
326.533,66.7146,Hoxd4,0,117h,1
327.291,65.3011,Hoxd4,0,117h,1
328.048,64.8871,Hoxd4,0,117h,1
328.806,65.8551,Hoxd4,0,117h,1
329.563,66.6272,Hoxd4,0,117h,1
330.321,67.0608,Hoxd4,0,117h,1
331.079,66.9117,Hoxd4,0,117h,1
331.836,66.4145,Hoxd4,0,117h,1
332.594,65.0377,Hoxd4,0,117h,1
333.352,63.125,Hoxd4,0,117h,1
334.109,63.312,Hoxd4,0,117h,1
334.867,63.8051,Hoxd4,0,117h,1
335.624,63.7262,Hoxd4,0,117h,1
336.382,63.5267,Hoxd4,0,117h,1
337.14,63.1423,Hoxd4,0,117h,1
337.897,61.4687,Hoxd4,0,117h,1
338.655,60.6491,Hoxd4,0,117h,1
339.412,59.8061,Hoxd4,0,117h,1
340.17,59.1918,Hoxd4,0,117h,1
340.928,59.109,Hoxd4,0,117h,1
341.685,59.9084,Hoxd4,0,117h,1
342.443,60.251,Hoxd4,0,117h,1
343.201,60.4505,Hoxd4,0,117h,1
343.958,61.2325,Hoxd4,0,117h,1
344.716,61.6776,Hoxd4,0,117h,1
345.473,60.3982,Hoxd4,0,117h,1
346.231,59.3577,Hoxd4,0,117h,1
346.989,58.5024,Hoxd4,0,117h,1
347.746,58.9575,Hoxd4,0,117h,1
348.504,59.6502,Hoxd4,0,117h,1
349.261,60.5314,Hoxd4,0,117h,1
350.019,61.5705,Hoxd4,0,117h,1
350.777,61.975,Hoxd4,0,117h,1
351.534,62.2582,Hoxd4,0,117h,1
352.292,62.6109,Hoxd4,0,117h,1
353.05,62.5743,Hoxd4,0,117h,1
353.807,60.9112,Hoxd4,0,117h,1
354.565,60.3279,Hoxd4,0,117h,1
355.322,60.3063,Hoxd4,0,117h,1
356.08,60.1451,Hoxd4,0,117h,1
356.838,61.1711,Hoxd4,0,117h,1
357.595,62.7171,Hoxd4,0,117h,1
358.353,64.1215,Hoxd4,0,117h,1
359.11,63.6739,Hoxd4,0,117h,1
359.868,62.2806,Hoxd4,0,117h,1
360.626,61.2699,Hoxd4,0,117h,1
361.383,59.7535,Hoxd4,0,117h,1
362.141,58.8473,Hoxd4,0,117h,1
362.899,57.2996,Hoxd4,0,117h,1
363.656,56.608,Hoxd4,0,117h,1
364.414,56.5812,Hoxd4,0,117h,1
365.171,55.7254,Hoxd4,0,117h,1
365.929,55.5271,Hoxd4,0,117h,1
366.687,55.372,Hoxd4,0,117h,1
367.444,55.5801,Hoxd4,0,117h,1
368.202,55.6762,Hoxd4,0,117h,1
368.96,56.0075,Hoxd4,0,117h,1
369.717,55.3552,Hoxd4,0,117h,1
370.475,55.1494,Hoxd4,0,117h,1
371.232,54.468,Hoxd4,0,117h,1
371.99,54.4171,Hoxd4,0,117h,1
372.748,54.4814,Hoxd4,0,117h,1
373.505,54.2696,Hoxd4,0,117h,1
374.263,53.6825,Hoxd4,0,117h,1
375.02,53.4851,Hoxd4,0,117h,1
375.778,53.6982,Hoxd4,0,117h,1
376.536,53.8366,Hoxd4,0,117h,1
377.293,54.6063,Hoxd4,0,117h,1
378.051,54.698,Hoxd4,0,117h,1
378.809,53.6529,Hoxd4,0,117h,1
379.566,52.4548,Hoxd4,0,117h,1
380.324,51.288,Hoxd4,0,117h,1
381.081,50.9208,Hoxd4,0,117h,1
381.839,51.4237,Hoxd4,0,117h,1
382.597,52.5734,Hoxd4,0,117h,1
383.354,53.314,Hoxd4,0,117h,1
384.112,52.4682,Hoxd4,0,117h,1
384.869,51.3326,Hoxd4,0,117h,1
385.627,50.3901,Hoxd4,0,117h,1
386.385,49.5644,Hoxd4,0,117h,1
387.142,48.5109,Hoxd4,0,117h,1
387.9,47.4373,Hoxd4,0,117h,1
388.658,46.5359,Hoxd4,0,117h,1
389.415,45.3602,Hoxd4,0,117h,1
390.173,44.8706,Hoxd4,0,117h,1
390.93,44.5471,Hoxd4,0,117h,1
391.688,44.725,Hoxd4,0,117h,1
392.446,44.8303,Hoxd4,0,117h,1
393.203,44.3457,Hoxd4,0,117h,1
