gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022574	Naprt	399.523393945875	361.755895646846	131.665355512042	125.579302480035	254.630986896199	1.56814127729628	0.179829245205647	8.72016826575125	2.77788658499034e-18	6.87307622949452e-17
ENSMUSG00000009628	Tex15	846.923558240636	998.178304655186	445.05066449938	466.719927327376	689.218113680644	1.01326266500592	0.116412340080939	8.70408295461998	3.20152819906736e-18	7.90738217013081e-17
ENSMUSG00000020598	Nrcam	378.88685500239	384.086506489244	136.017929247977	126.56811588539	256.38985165625	1.53964636837519	0.177145566046859	8.69141916861704	3.5793976450055e-18	8.77917304130654e-17
ENSMUSG00000047786	Lix1	57.7823090417588	70.3414241535534	257.889993854164	254.125045176135	160.034693056403	-2.00889308921077	0.231264003272061	-8.68657923752835	3.73516443316331e-18	9.1453166668233e-17
ENSMUSG00000033386	Frrs1	506.007934894259	504.671805038192	204.570965588957	209.628441935177	356.219786864146	1.28664106814828	0.14832630676313	8.67439563639228	4.15752524064847e-18	1.01617986947774e-16
ENSMUSG00000039193	Nlrc4	236.082005513472	257.918555229696	64.2004626050451	50.4294836730851	152.157626755324	2.11000402174746	0.243397867371427	8.66895032620634	4.36122162306074e-18	1.06412298529456e-16
ENSMUSG00000028354	Fmn2	235.256543955732	218.839986255499	519.04441801028	562.634827646773	383.943943967071	-1.2498329808386	0.144474391116747	-8.65089633655996	5.10965011758399e-18	1.24243785531529e-16
ENSMUSG00000045667	Smtnl2	400.348855503614	374.037731610165	785.639559336314	768.308015960531	582.083540602656	-1.00204929038735	0.116343941626983	-8.61281882300398	7.12857050405502e-18	1.72442932793633e-16
ENSMUSG00000061751	Kalrn	322.75546907611	351.707120767767	746.466395712897	678.325996073262	524.813745407509	-1.08147070050122	0.125590062786085	-8.61111680741231	7.23522211164861e-18	1.74723180548939e-16
ENSMUSG00000037820	Tgm2	219.572774358683	203.208558665821	46.790167661304	38.5637228088298	127.033805873659	2.31357040740111	0.268704070501292	8.6101055450516	7.29933403999614e-18	1.75970099087291e-16
ENSMUSG00000048661	Lemd3	564.615705493757	619.674450876542	256.80185042018	263.024365824326	426.029093153701	1.18552502682977	0.137829336030193	8.60139837407379	7.87506164515925e-18	1.88880942825988e-16
ENSMUSG00000006356	Crip2	803.174095680447	725.744852377931	375.409484724416	372.782653818688	569.27777165037	1.03335660708354	0.120274810035197	8.59162950896487	8.57444882848532e-18	2.04611593617815e-16
ENSMUSG00000057897	Camk2b	344.217469577334	272.433452277254	78.3463272468347	90.970833292624	196.492020598512	1.86675394088741	0.217642243794935	8.57716731980712	9.72381194895421e-18	2.3125618872867e-16
