gene	AverageSnai1log2FC	ConcordentSnai1log2FCSign	MaxpValueSnai1	Clone1	Clone2
Cacng6	2.62772185396214	TRUE	1.77983337900514e-10	2.55244126417622	2.70300244374807
Epp13	3.30450846129741	TRUE	7.29340438986126e-24	3.5094626009479	3.09955432164692
Lgi4	-3.97251943037346	TRUE	1.28054883438083e-06	-4.61786900418746	-3.32716985655947
Hrc	2.76275591541311	TRUE	1.72577294719553e-06	2.62388149335282	2.90163033747341
Ano5	4.08619295741592	TRUE	9.9973073658345e-18	4.12358860156703	4.04879731326482
Synm	-2.46901254082221	TRUE	9.06729446877096e-97	-2.33373346803511	-2.60429161360931
St8sia2	-2.4405564248227	TRUE	6.08056260195634e-11	-2.29845482894516	-2.58265802070024
Sv2b	-4.22587837925935	TRUE	1.80853508605291e-66	-4.43828826060392	-4.01346849791479
Mesp1	-2.20068514710258	TRUE	1.01790438479879e-05	-2.63091010176863	-1.77046019243652
Mesp2	-3.22617730550654	TRUE	1.95957227844171e-11	-3.42671043905914	-3.02564417195393
Cpeb1	2.56647139825898	TRUE	8.38084103333281e-26	2.53506733176771	2.59787546475026
Trim34b	3.02974651950078	TRUE	4.15645117043507e-06	2.80766464108023	3.25182839792132
Trim12c	2.22881763521776	TRUE	7.03290404732163e-27	1.97334012470964	2.48429514572589
Trim30a	5.05741653732831	TRUE	2.76621569379764e-07	4.39702420284268	5.71780887181394
Lmo1	-4.10542231106358	TRUE	2.57942617111077e-07	-4.79791413743269	-3.41293048469448
Adm	3.00604312053352	TRUE	4.58232439883509e-07	2.85795468489377	3.15413155617327
Tmc5	-2.57666335068711	TRUE	2.2175071590155e-05	-2.73377290483384	-2.41955379654038
Tbx6	-2.78415474792748	TRUE	1.41798944682294e-52	-3.10754759987401	-2.46076189598095
Pycard	2.23173436015534	TRUE	4.83898415268656e-09	2.08234999188875	2.38111872842192
Chst15	3.49043954602577	TRUE	8.25004031147989e-12	3.08067219511422	3.90020689693731
Utf1	2.83558904918023	TRUE	4.24882042905802e-19	2.54388154539303	3.12729655296743
Ifitm1	-2.59989150920133	TRUE	7.56886734843398e-113	-2.84377777658386	-2.35600524181881
Phlda2	-2.67390559321605	TRUE	5.19044642065681e-15	-3.04404410100285	-2.30376708542926
Arfgef3	2.09221950557029	TRUE	2.85662843118816e-16	2.22674007452063	1.95769893661995
Perp	2.12838628908397	TRUE	1.64159500849191e-32	2.1359843772548	2.12078820091314
Olig3	4.46060624514311	TRUE	5.87618695972011e-07	5.04494726587928	3.87626522440694
Ccn2	3.17906130931726	TRUE	1.00623938351267e-09	3.15320174480078	3.20492087383374
Enpp3	2.51367017863165	TRUE	1.10570234414399e-28	2.56588964765091	2.46145070961239
Hey2	-2.26786596221908	TRUE	4.82482944771967e-06	-2.09556593123445	-2.4401659932037
Prdm1	2.40274101865448	TRUE	2.86355808977456e-07	2.26516161009501	2.54032042721396
Sim1	-5.22598457460487	TRUE	1.00146950098687e-21	-5.59419647124126	-4.85777267796848
Spock2	-2.0647744761155	TRUE	3.76130755965015e-58	-2.1476783921912	-1.9818705600398
Nodal	2.41825819114317	TRUE	9.03273158338297e-10	1.94613819337117	2.89037818891517
Chchd10	2.03352800705279	TRUE	5.61717016501913e-23	1.91120663931993	2.15584937478565
Mybpc1	2.62353520970083	TRUE	1.10776022073092e-08	2.5662544757988	2.68081594360286
Phlda1	-2.44113970991748	TRUE	4.7218575006905e-28	-2.81444348853659	-2.06783593129837
Lgr5	-2.28601804786644	TRUE	4.35251211255292e-05	-2.07001156318385	-2.50202453254904
Ptprb	-2.34085658588208	TRUE	7.64644853768849e-09	-2.44187235876934	-2.23984081299482
Myrfl	-2.99965942554554	TRUE	3.37513905753186e-08	-3.08273927682017	-2.9165795742709
Avpr1a	2.80996333210607	TRUE	5.41068905013081e-11	2.76368406059457	2.85624260361757
Nxph4	4.49255497369353	TRUE	3.91515521260291e-11	4.21021372455059	4.77489622283646
Sox1	2.59056360597248	TRUE	1.60407190067352e-25	2.75326746443988	2.42785974750507
Dlc1	-2.41889061856192	TRUE	4.90055529166604e-26	-2.80876264549978	-2.02901859162406
Tlr3	3.21773305370896	TRUE	4.90303099072264e-06	2.78831659990099	3.64714950751694
Apela	2.38382853857003	TRUE	4.7245639433496e-09	2.50152149205995	2.2661355850801
Tmem59l	2.24909958058341	TRUE	6.71194207057189e-06	2.14192793191234	2.35627122925448
Crlf1	2.38753888532948	TRUE	9.06346307532947e-07	2.3967435082046	2.37833426245436
Slc5a5	2.86071750302143	TRUE	4.68134523074346e-15	3.12273694660737	2.59869805943549
Ccdc194	3.77250064842887	TRUE	2.58028087969544e-43	3.81974938133317	3.72525191552456
Bst2	3.12372144604918	TRUE	2.16580000696241e-70	2.63298890221585	3.61445398988251
Klf2	2.63567608240656	TRUE	3.42735982528287e-08	2.31092171971525	2.96043044509786
Cbln1	-3.64024738224952	TRUE	2.13875882049546e-21	-3.81136882834288	-3.46912593615615
Mt2	2.01749141041801	TRUE	3.94081246133473e-58	1.92663690184998	2.10834591898604
Cdh11	-2.10469850691237	TRUE	5.83789358911203e-10	-2.42962159095645	-1.77977542286829
Exoc3l	2.57636909951973	TRUE	1.16607424458059e-12	2.60985769606345	2.54288050297601
Nqo1	2.04837815682941	TRUE	6.45814596214933e-17	1.98476811410765	2.11198819955117
Marveld3	3.08487902891157	TRUE	2.48381933940557e-08	2.83539211422088	3.33436594360226
Slc38a8	-2.57936634970382	TRUE	4.23831137530632e-08	-3.25680285521111	-1.90192984419653
Foxc2	-5.08402021388789	TRUE	2.2653064105359e-47	-5.87037436975858	-4.29766605801721
Acta1	3.08646361553133	TRUE	7.32716372543257e-06	3.22427487895435	2.94865235210832
Trim67	3.96832103748962	TRUE	1.04562104855151e-23	3.58904008884668	4.34760198613256
Sema3g	-4.2211531524634	TRUE	5.6624034858612e-06	-3.34555335917266	-5.09675294575415
