"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Selenop.1",1.0854200315596e-40,1.92973279444617,0.764,0.189,3.58318860818455e-36,"Endothelial","Selenop"
"Plk2",5.72583165314354e-40,1.73034924386042,0.745,0.185,1.89021154533575e-35,"Endothelial","Plk2"
"Shisa5",5.80904218260234e-40,1.15098956368377,0.591,0.109,1.91768100532068e-35,"Endothelial","Shisa5"
"Anxa2",7.96568765544969e-40,1.66516758855517,0.582,0.073,2.62963280881705e-35,"Endothelial","Anxa2"
"Nrp1.2",8.30321354720696e-40,1.6747135184128,0.736,0.185,2.74105685620396e-35,"Endothelial","Nrp1"
"Ets1.1",1.17955606638139e-39,1.45153621992321,0.727,0.135,3.89395048633826e-35,"Endothelial","Ets1"
"Fli1",1.25217200182142e-39,0.947054207535998,0.464,0.025,4.13367021241286e-35,"Endothelial","Fli1"
"Inka1.1",1.73537453408736e-39,1.21438324142492,0.736,0.186,5.72881841192918e-35,"Endothelial","Inka1"
"Pde2a",1.86280851681672e-39,0.859108818202373,0.418,0.009,6.14950347571536e-35,"Endothelial","Pde2a"
"Grap",7.52307523694965e-39,0.626038982392982,0.391,0.002,2.48351759722182e-34,"Endothelial","Grap"
"Thsd1",1.11996676093656e-38,0.750512701540043,0.409,0.006,3.69723427120376e-34,"Endothelial","Thsd1"
"Rcsd1",1.27364078104267e-38,0.93562984832791,0.455,0.025,4.20454294637807e-34,"Endothelial","Rcsd1"
"Kank3",2.0079148256471e-38,1.04339580212995,0.573,0.082,6.6285284224262e-34,"Endothelial","Kank3"
"Stab1",6.49937089669644e-38,0.832459132314593,0.382,0.001,2.14557232041743e-33,"Endothelial","Stab1"
"Dysf",7.86644066717927e-38,0.737689987777872,0.436,0.031,2.59686939304922e-33,"Endothelial","Dysf"
"Klhl6",8.67051442570249e-38,0.910538556540081,0.391,0.005,2.86231022221291e-33,"Endothelial","Klhl6"
"Lyn",1.48169663205944e-37,0.689786242508433,0.409,0.017,4.89137692175463e-33,"Endothelial","Lyn"
"N4bp3",3.00513563297424e-37,1.30245962402076,0.591,0.087,9.92055375157458e-33,"Endothelial","N4bp3"
"Tnfaip8l1",1.00038082037589e-36,0.80082082300073,0.4,0.021,3.30245716422488e-32,"Endothelial","Tnfaip8l1"
"Pcdh17.1",2.23256871720339e-36,1.42160854193397,0.464,0.037,7.37015584923181e-32,"Endothelial","Pcdh17"
"Nid1.1",2.67858235814419e-36,0.842386228993656,0.455,0.032,8.84253608070559e-32,"Endothelial","Nid1"
"Nasp",2.69067357638551e-36,-1.32888059928862,0.745,0.995,8.88245161036383e-32,"Endothelial","Nasp"
"Ppp1r13b",3.11947043305667e-36,0.954101348052783,0.473,0.025,1.02979957936067e-31,"Endothelial","Ppp1r13b"
"Sox18",7.17904176854044e-36,0.841767244083062,0.373,0.002,2.36994526863057e-31,"Endothelial","Sox18"
"Anxa5",1.1393318200727e-35,1.48352359110832,0.764,0.256,3.761162204424e-31,"Endothelial","Anxa5"
"Rasgrp3.1",3.33939195424481e-35,0.953538644198376,0.545,0.079,1.1024000719353e-30,"Endothelial","Rasgrp3"
"Dll4",5.69216611028594e-35,0.767138843881755,0.364,0.002,1.87909787632759e-30,"Endothelial","Dll4"
"Acvrl1",3.33996767354213e-34,0.694205323925069,0.345,0.002,1.10259012838973e-29,"Endothelial","Acvrl1"
"Ppic",4.85446055674171e-34,1.46035399156748,0.764,0.292,1.60255451899157e-29,"Endothelial","Ppic"
"Depp1",2.77207718765241e-33,1.02771694985019,0.336,0.003,9.15118121187815e-29,"Endothelial","Depp1"
"Dok4",4.94141266737586e-33,1.02480626879204,0.409,0.011,1.63125914975412e-28,"Endothelial","Dok4"
"Psip1",5.61887635625996e-33,-1.23193500664054,0.664,0.979,1.85490346272854e-28,"Endothelial","Psip1"
"Dapk2",7.42793382954321e-33,0.858445374337246,0.436,0.04,2.45210951580881e-28,"Endothelial","Dapk2"
"Mest.9",1.93561955096753e-32,1.70514740766708,1,0.712,6.389867261654e-28,"Endothelial","Mest"
"Pon2",2.53620959987576e-32,0.998357405007713,0.573,0.116,8.37253513110987e-28,"Endothelial","Pon2"
"Eva1b.1",2.91106017970089e-32,1.40027490790965,0.745,0.259,9.60999186522859e-28,"Endothelial","Eva1b"
"Grrp1.1",3.5410236755774e-32,1.2632034564132,0.627,0.138,1.16896273578161e-27,"Endothelial","Grrp1"
"S1pr1",5.95116674399537e-32,0.760551178179488,0.382,0.015,1.96459916552775e-27,"Endothelial","S1pr1"
"Lat",8.68915140597673e-32,0.711292977524162,0.364,0.012,2.86846266214104e-27,"Endothelial","Lat"
"Fgd5",1.5212692648941e-31,0.806707766267588,0.436,0.03,5.02201409726841e-27,"Endothelial","Fgd5"
"Tek",1.86508022338229e-31,0.653763619720296,0.318,0.002,6.15700283342961e-27,"Endothelial","Tek"
"Scarf1",3.10688811946965e-31,0.530386515522745,0.327,0.01,1.02564590599932e-26,"Endothelial","Scarf1"
"Gja4",3.47925184252106e-31,1.52654800004049,0.336,0.004,1.14857061825305e-26,"Endothelial","Gja4"
"Igfbp3.1",5.36114890911405e-31,2.14163148626377,0.573,0.134,1.76982247787673e-26,"Endothelial","Igfbp3"
"Hspg2",7.94526776557373e-31,1.15205223535047,0.555,0.161,2.6228917947712e-26,"Endothelial","Hspg2"
"Ifitm3.3",1.6165634146984e-30,1.38130695051333,0.773,0.291,5.33659914460234e-26,"Endothelial","Ifitm3"
"Jun.1",2.23445171735359e-30,1.25637420933578,0.664,0.209,7.37637200932766e-26,"Endothelial","Jun"
"Tgfbr2",2.32354800402552e-30,0.781767982685893,0.391,0.018,7.67049667088903e-26,"Endothelial","Tgfbr2"
"Klf2.2",4.21861786927019e-30,1.52990420054631,0.445,0.059,1.39265013100348e-25,"Endothelial","Klf2"
"Cnn2",9.03094469369246e-30,1.09361756620804,0.582,0.154,2.98129546228175e-25,"Endothelial","Cnn2"
"Mpzl1",2.27031035566753e-29,1.25631493908467,0.809,0.44,7.49474854612964e-25,"Endothelial","Mpzl1"
"Il11ra1",7.16846807679045e-29,0.918168206885098,0.536,0.104,2.36645468151006e-24,"Endothelial","Il11ra1"
"Abhd17a",7.64795250706344e-29,1.43322587113963,0.891,0.673,2.52474208163178e-24,"Endothelial","Abhd17a"
"Rab11a",9.58881224992963e-29,1.37109494443177,0.882,0.622,3.16545869994677e-24,"Endothelial","Rab11a"
"Madcam1",9.71179797546558e-29,1.03800297199049,0.291,0.001,3.2060587476607e-24,"Endothelial","Madcam1"
"Exoc3l4",9.71179797546558e-29,0.687489780153907,0.291,0.003,3.2060587476607e-24,"Endothelial","Exoc3l4"
"Klhl4",9.71179797546558e-29,0.612488190818927,0.291,0.001,3.2060587476607e-24,"Endothelial","Klhl4"
"Hhex",1.99125778016463e-28,1.18726550268188,0.445,0.044,6.57354018387948e-24,"Endothelial","Hhex"
"Csn3",2.62121729604685e-28,0.63680474149372,0.309,0.009,8.65316253770988e-24,"Endothelial","Csn3"
"Rapgef5",2.68565039316966e-28,0.811851311959861,0.445,0.065,8.86586907793168e-24,"Endothelial","Rapgef5"
"2610203C22Rik",7.69489475507376e-28,0.705321201121602,0.282,0.002,2.54023865654495e-23,"Endothelial","2610203C22Rik"
"Arhgap29",8.89756717635177e-28,0.945219785639845,0.5,0.078,2.93726487625725e-23,"Endothelial","Arhgap29"
"Sox7",1.2114249481375e-27,0.633514581339158,0.291,0.001,3.99915603879151e-23,"Endothelial","Sox7"
"Cd38",2.03102862812781e-27,0.809904163096137,0.345,0.018,6.70483170717553e-23,"Endothelial","Cd38"
"Vamp8.2",2.10677304061367e-27,1.264467669511,0.691,0.27,6.95487916167385e-23,"Endothelial","Vamp8"
"Trp53i11.2",3.06301075828861e-27,1.2019653288494,0.664,0.185,1.01116111152624e-22,"Endothelial","Trp53i11"
"BC028528",4.87432255341765e-27,1.12051417571636,0.573,0.137,1.60911136133424e-22,"Endothelial","BC028528"
"Dctpp1",5.38563652291355e-27,-1.06202070279077,0.755,0.982,1.77790632894422e-22,"Endothelial","Dctpp1"
"Pcdh12",6.05109851251426e-27,0.578022321341811,0.273,0,1.99758864095121e-22,"Endothelial","Pcdh12"
"Erg",9.84244161573598e-27,0.508176395998893,0.282,0.001,3.24918682618676e-22,"Endothelial","Erg"
"Pecam1.1",1.12621809522896e-26,0.936262443551984,0.345,0.016,3.71787117596986e-22,"Endothelial","Pecam1"
"Lyar.1",1.32181123960921e-26,-1.02930840614676,0.545,0.914,4.36356326419791e-22,"Endothelial","Lyar"
"Creg1",1.3946918619311e-26,1.5611891068033,0.673,0.256,4.60415677460694e-22,"Endothelial","Creg1"
"Ostf1.2",1.46468809301349e-26,1.09772225331017,0.6,0.168,4.83522833265615e-22,"Endothelial","Ostf1"
"Cited2.4",4.46915165705515e-26,-1.33594647790859,0.245,0.824,1.47535634502705e-21,"Endothelial","Cited2"
"Lama4",4.72304921122256e-26,0.587592053351934,0.264,0.002,1.55917300560879e-21,"Endothelial","Lama4"
"Lrrc70",6.88107470223683e-26,0.605998187342603,0.345,0.019,2.27158038070242e-21,"Endothelial","Lrrc70"
"Cavin1",1.38291463775217e-25,0.708639497036125,0.309,0.01,4.56527780214747e-21,"Endothelial","Cavin1"
"Ehd2",1.57571612228023e-25,0.628305730598126,0.364,0.029,5.20175406287151e-21,"Endothelial","Ehd2"
