 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
5755,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5755_44,31.621,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5755_44,107.044,20.497,108,113,57.175,9.571,60,60,149.113,11.787,149,154
5756,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5756_44,86.225,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5756_44,129.658,32.762,128,128,90.220,22.013,93,94,146.622,15.141,145,142
5757,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5757_44,30.725,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5757_44,122.029,27.637,118,112,84.663,24.515,81,60,161.326,12.518,160,155
5758,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5758_44,25.101,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5758_44,107.003,21.672,109,109,50.922,9.566,53,53,130.013,10.920,129,129
5759,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5759_44,68.784,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5759_44,128.348,38.456,128,135,38.358,8.449,40,40,117.786,12.295,117,112
5760,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5760_44,27.709,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5760_44,117.165,23.871,114,108,40.647,7.693,40,40,133.438,13.008,133,130
5761,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5761_44,58.760,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5761_44,121.205,25.326,121,127,94.329,18.358,94,94,164.214,11.332,165,167
5762,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5762_44,28.280,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5762_44,112.020,23.556,110,104,39.147,9.736,40,40,120.516,16.575,118,109
5763,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5763_44,36.674,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5763_44,105.398,21.177,107,122,110.291,30.795,114,94,159.691,15.700,160,158
5764,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5764_44,45.231,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5764_44,117.868,27.942,115,110,58.975,10.024,60,60,146.908,14.074,145,138
5765,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5765_44,29.258,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5765_44,100.643,15.191,101,96,36.295,7.494,33,33,108.003,9.141,108,105
5766,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5766_44,40.749,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5766_44,109.830,20.072,110,113,55.198,8.556,54,60,139.018,10.294,138,137
5767,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5767_44,45.883,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5767_44,111.632,17.141,113,107,63.327,10.543,62,60,148.075,12.624,148,150
